"","titles","prices","years","transmissions","make.1","make.2"
"152","Toyota Fielder S","1895000","2013 ","Tiptronic",Toyota,Fielder S
"153","Honda stream","1620000","2011 ","Automatic",Honda,stream
"154","Mitsubishi Rosa","2800000","2008 ","Manual",Mitsubishi,Rosa
"155","Honda CIVIC","990000","2007 ","Automatic",Honda,CIVIC
"156","Toyota wish","2100000","2012 ","Automatic",Toyota,wish
"157","Nissan Teana","2750000","2014 ","Automatic",Nissan,Teana
"158","Nissan ad","990000","2011 ","Automatic",Nissan,ad
"159","Nissan Note","1390000","2013 ","Automatic",Nissan,Note
"160","Honda CIVIC","2e+06","2013 ","Automatic",Honda,CIVIC
"161","Toyota Bb S","950000","2012 ","Automatic",Toyota,Bb S
"162","Kia Motors sportage","1240000","2010 ","Automatic",Kia,Motors sportage
"163","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"164","Toyota Mark X","1999000","2011 ","Automatic",Toyota,Mark X
"165","BMW 328i","3550000","2014 ","Automatic",BMW,328i
"166","Audi Q7",NA,"2018 ","Tiptronic",Audi,Q7
"167","Mitsubishi Colt","950000","2012 ","Automatic",Mitsubishi,Colt
"168","Honda CIVIC","1750000","2011 ","Automatic",Honda,CIVIC
"169","Mercedes-Benz C180",NA," ","Automatic",Mercedes-Benz,C180
"170","Toyota Voxy",NA,"2013 ","Automatic",Toyota,Voxy
"171","Toyota Starlet",NA," ","Manual",Toyota,Starlet
"172","Honda CIVIC","890000","2008 ","Automatic",Honda,CIVIC
"173","Toyota Corolla Altis",NA,"2004 ","Automatic",Toyota,Corolla Altis
"174","Toyota wish","1520000","2009 ","Automatic",Toyota,wish
"175","Honda CR-V",NA,"2011 ","Automatic",Honda,CR-V
"176","Honda CIVIC Coupe","2750000","2014 ","Automatic",Honda,CIVIC Coupe
"177","Nissan Sylphy",NA,"2013 ","Automatic",Nissan,Sylphy
"178","Toyota Probox DX","1300000","2013 ","Automatic",Toyota,Probox DX
"179","Toyota Vitz","850000","2009 ","Automatic",Toyota,Vitz
"180","Toyota AXIO",NA,"2013 ","Automatic",Toyota,AXIO
"181","Toyota Corolla Axio","1820000","2013 ","Automatic",Toyota,Corolla Axio
"182","Toyota Fielder","1650000","2012 ","Automatic",Toyota,Fielder
"183","Suzuki Grand Vitara","520000","2002 ","Automatic",Suzuki,Grand Vitara
"184","Toyota Hiace","1750000","2007 ","Automatic",Toyota,Hiace
"185","Mitsubishi Galant Fortis","980000","2008 ","Tiptronic",Mitsubishi,Galant Fortis
"186","Nissan Juke","2350000","2013 ","Automatic",Nissan,Juke
"187","Mitsubishi ASX","3e+06","2014 ","Tiptronic",Mitsubishi,ASX
"188","Honda Stream",NA,"2011 ","Automatic",Honda,Stream
"189","Toyota Belta","1400000","2012 ","Automatic",Toyota,Belta
"190","Subaru  Impreza (G4)","2450000","2015 ","Automatic",Subaru, Impreza (G4)
"191","Toyota Fielder S","1690000","2012 ","Automatic",Toyota,Fielder S
"192","Suzuki Swift","1270000","2012 ","Automatic",Suzuki,Swift
"193","Lexus IS250",NA,"2010 ","Automatic",Lexus,IS250
"194","Toyota Corolla Kingfish","1070000","2006 ","Automatic",Toyota,Corolla Kingfish
"195","Toyota MARK2","270000","1995 ","Automatic",Toyota,MARK2
"196","BMW 520d","3250000","2012 ","Automatic",BMW,520d
"197","Subaru  impreza","1950000","2013 ","Automatic",Subaru, impreza
"198","Toyota MARK X Premium","3300000","2013 ","Automatic",Toyota,MARK X Premium
"199","Nissan Teana",NA,"2013 ","Automatic",Nissan,Teana
"200","Toyota Corolla","2800000","2016 ","Automatic",Toyota,Corolla
"201","Toyota Hiace",NA,"2013 ","Automatic",Toyota,Hiace
"202","Toyota corolla GLI","2400000","2014 ","Automatic",Toyota,corolla GLI
"203","Mazda Axela Sport","2450000","2013 ","Tiptronic",Mazda,Axela Sport
"204","Honda crv ","680000","1998 ","Automatic",Honda,crv 
"205","Subaru  IMPREZA SPORT",NA,"2013 ","Automatic",Subaru, IMPREZA SPORT
"206","Honda Fit","1900000","2015 ","Automatic",Honda,Fit
"207","Nissan Note","1e+06","2012 ","Automatic",Nissan,Note
"208","Honda CIVIC","1300000","2010 ","Automatic",Honda,CIVIC
"209","Mitsubishi Pajero",NA," ","Automatic",Mitsubishi,Pajero
"210","Mercedes-Benz ",NA,"2011 ","Automatic",Mercedes-Benz,
"211","Toyota Corolla Police Shape","385000","1995 ","Automatic",Toyota,Corolla Police Shape
"212","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"213","Toyota Mark X Zio","1980000","2012 ","Tiptronic",Toyota,Mark X Zio
"214","Mazda Premacy","1750000","2013 ","Automatic",Mazda,Premacy
"215","Honda Fit","1840000","2014 ","Automatic",Honda,Fit
"216","Nissan Note","1650000","2014 ","Automatic",Nissan,Note
"217","Honda CR-V",NA,"2006 ","Automatic",Honda,CR-V
"218","Toyota Voxy","1920000","2011 ","Automatic",Toyota,Voxy
"219","Nissan Sylphy",NA," ","Automatic",Nissan,Sylphy
"220","Toyota Vitz","1350000","2012 ","Automatic",Toyota,Vitz
"221","ssangyong actyon","1350000","2009 ","Automatic",ssangyong,actyon
"222","Toyota wish","1950000","2012 ","Automatic",Toyota,wish
"223","Toyota AXIO",NA,"2013 ","Automatic",Toyota,AXIO
"224","Toyota Vitz","1480000","2013 ","Automatic",Toyota,Vitz
"225","Toyota AXIO",NA,"2013 ","Automatic",Toyota,AXIO
"226","Toyota Vitz","1700000","2014 ","Automatic",Toyota,Vitz
"227","Nissan AD Wagon","1050000","2012 ","Automatic",Nissan,AD Wagon
"228","Toyota AXIO","1880000","2013 ","Automatic",Toyota,AXIO
"229","Nissan Sunny ","450000","2001 ","Automatic",Nissan,Sunny 
"230","Nissan AD Wagon",NA," ","Automatic",Nissan,AD Wagon
"231","Toyota axio ","1580000","2011 ","Automatic",Toyota,axio 
"232","Honda CR-V","850000","2001 ","Automatic",Honda,CR-V
"233","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"234","Isuzu Forward Smoother E","3100000","2003 ","Tiptronic",Isuzu,Forward Smoother E
"235","Suzuki Grand Vitara",NA,"2002 ","Automatic",Suzuki,Grand Vitara
"236","Nissan LATIO","1500000","2013 ","Automatic",Nissan,LATIO
"237","Hyundai Sonata","9e+05","2005 ","Automatic",Hyundai,Sonata
"238","Toyota AXIO",NA,"2015 ","Automatic",Toyota,AXIO
"239","Honda Fit","1450000","2013 ","Automatic",Honda,Fit
